"food_id","name","common_names","dosha_impact","tastes","qualities","energy","season","calories_100g","carbs_100g","protein_100g","fat_100g","notes","source_id"
f_001,"Kitchari","khichdi|mung dal khichdi","Vata,Pitta,Kapha,Balancing","sweet,salty","heavy,unctuous","warming","winter,monsoon",120,18,6,3,"Gentle on digestion; good for all doshas","manual_001"
f_002,"Amaranth, black","Rajgira|Ramdana","Pitta,Kapha","sweet,astringent","light,dry",cooling,autumn,356,59.98,14.59,5.74,"Gluten-free grain, good source of protein.",A001
f_003,"Amaranth, pale brown","Rajgira|Ramdana|Chaulai","Pitta,Kapha","sweet,astringent","light,dry",cooling,autumn,356,61.46,13.27,5.56,"Gluten-free, high in calcium and iron.",A002
f_004,"Bajra","Pearl Millet|Kambu|Sajjalu","Kapha,Vata","sweet,astringent","dry,light",heating,winter,348,61.78,10.96,5.43,"Warming millet, traditionally eaten in winter.",A003
f_005,"Barley","Jau|Yava","Pitta,Kapha","sweet,astringent","light,dry",cooling,"spring,summer",316,61.29,10.94,1.30,"Good for Pitta and Kapha; can increase Vata.",A004
f_006,"Jowar","Sorghum|Jonna","Pitta,Kapha","sweet,astringent","light,dry",cooling,"summer,autumn",334,67.68,9.97,1.73,"Cooling and drying. Can aggravate Vata in excess.",A005
f_007,"Maize, dry","Corn|Makka|Mokka Jonna","Kapha,Pitta",sweet,"dry,light",heating,monsoon,334,64.77,8.80,3.77,"Heating and drying. Can increase Vata and Pitta.",A006
f_008,"Maize, tender","Sweet Corn|Bhutta","Pitta,Vata",sweet,"heavy,unctuous",cooling,monsoon,120,22.69,3.57,1.40,"Softer and easier to digest than dry corn.",A007
f_009,"Maize, tender, sweet","Sweet Corn","Pitta,Vata",sweet,"heavy,unctuous",cooling,monsoon,97,16.42,4.16,1.35,"Very sweet; pacifies Vata and Pitta.",A008
f_010,"Quinoa","Quinoa","Pitta,Kapha","sweet,astringent","light,dry",heating,all,328,53.65,13.11,5.50,"Good protein source, balances Kapha and Pitta.",A009
f_011,"Ragi","Finger Millet|Nachni","Kapha,Pitta","sweet,astringent","light,dry",heating,winter,321,66.82,7.16,1.92,"Warming and drying. Good for Kapha.",A010
f_012,"Rice flakes","Poha|Aval|Atukulu","Vata,Pitta",sweet,"light,dry",cooling,all,354,76.75,7.44,1.14,"Very light and easy to digest. Good breakfast food.",A011
f_013,"Rice, puffed","Murmura|Pori|Maramaralu",Kapha,sweet,"light,dry",cooling,all,362,77.68,7.47,1.62,"Very light and dry. Good for Kapha, but aggravates Vata.",A012
f_014,"Rice, brown","Brown Chawal","Vata,Pitta",sweet,"heavy,dry",heating,all,354,74.80,9.16,1.24,"More fiber and nutrients than white rice. Slightly heating.",A013
f_015,"Rice, parboiled","Puzhungal Arisi|Uppudu Biyyam","Vata,Pitta,Kapha",sweet,"light,unctuous",cooling,all,352,77.16,7.81,0.55,"Lighter to digest than raw rice.",A014
f_016,"Rice, white","Chawal|Arisi|Biyyam","Vata,Pitta,Kapha",sweet,"heavy,unctuous",cooling,all,356,78.24,7.94,0.52,"Easy to digest. Basmati is considered most sattvic.",A015
f_017,"Samai","Little Millet","Pitta,Kapha","sweet,astringent","light,dry",heating,"winter,spring",346,65.55,10.13,3.89,"Warming and light. Good for Kapha.",A016
f_018,"Varagu","Kodo Millet|Arikelu","Pitta,Kapha","sweet,astringent","light,dry",cooling,summer,332,66.19,8.92,2.55,"Detoxifying millet. Good for Pitta and Kapha.",A017
f_019,"Wheat flour, refined","Maida","Vata,Pitta",sweet,"heavy,unctuous",cooling,all,352,74.27,10.36,0.76,"Heavy and hard to digest. Increases Kapha.",A018
f_020,"Wheat flour, atta","Atta|Godhuma Pindi",Vata,sweet,"heavy,unctuous",heating,all,320,64.17,10.57,1.53,"Staple flour. Warming and nourishing for Vata.",A019
f_021,"Wheat, whole","Gehun|Godhumalu",Vata,sweet,"heavy,unctuous",heating,all,322,64.72,10.59,1.47,"Nourishing and grounding for Vata.",A020
f_022,"Wheat, bulgur","Dalia|Godhuma Rava","Vata,Pitta",sweet,"heavy,unctuous",heating,all,342,69.06,10.84,1.45,"Easier to digest than whole wheat.",A021
f_023,"Wheat, semolina","Suji|Rava","Vata,Pitta",sweet,"heavy,dry",heating,all,334,68.43,11.38,0.74,"Lighter than whole wheat. Can increase Kapha.",A022
f_024,"Wheat, vermicelli","Seviyan|Semiya","Vata,Pitta",sweet,"heavy,dry",heating,all,333,70.39,9.70,0.45,"Similar properties to semolina.",A023
f_025,"Wheat, vermicelli, roasted","Roasted Semiya","Vata,Pitta",sweet,"light,dry",heating,all,340,71.42,10.37,0.49,"Roasting makes it lighter and less Kapha-aggravating.",A024
f_026,"Bengal gram, dal","Chana Dal|Sanaga Pappu","Pitta,Kapha","sweet,astringent","light,dry",cooling,all,329,46.72,21.55,5.31,"Drying and astringent. Can aggravate Vata.",B001
f_027,"Bengal gram, whole","Kala Chana|Black Chickpea","Pitta,Kapha","sweet,astringent","light,dry",cooling,all,287,39.56,18.77,5.11,"Very drying. Increases Vata.",B002
f_028,"Black gram, dal","Urad Dal|Minapa Pappu",Vata,sweet,"heavy,unctuous",heating,all,324,51.00,23.06,1.69,"Very nourishing and strengthening. Increases Kapha.",B003
f_029,"Black gram, whole","Sabut Urad|Uzhunnu",Vata,sweet,"heavy,unctuous",heating,all,291,43.99,21.97,1.58,"Heaviest of all dals. Increases Kapha significantly.",B004
f_030,"Cowpea, brown","Lobia|Karamani|Bobbarlu","Kapha,Pitta","sweet,astringent","light,dry",cooling,all,320,54.62,20.36,1.15,"Lighter than other beans. Can be slightly Vata-aggravating.",B005
f_031,"Cowpea, white","White Lobia|Alasande","Kapha,Pitta","sweet,astringent","light,dry",cooling,all,320,53.77,21.25,1.14,"Similar to brown cowpea.",B006
f_032,"Field bean, black","Black Beans","Vata,Kapha","sweet,astringent","heavy,dry",heating,winter,276,43.46,19.93,0.92,"Heavy and drying. Increases Vata.",B007
f_033,"Field bean, brown","Brown Beans","Vata,Kapha","sweet,astringent","heavy,dry",heating,winter,283,45.24,19.90,0.98,"Heavy and drying. Increases Vata.",B008
f_034,"Field bean, white","Cannellini Beans","Vata,Kapha","sweet,astringent","heavy,dry",heating,winter,280,44.53,19.84,0.94,"Heavy and drying. Increases Vata.",B009
f_035,"Mung bean, dal","Moong Dal|Pasi Paruppu|Pesara Pappu","Vata,Pitta,Kapha,Balancing","sweet,astringent","light,dry",cooling,all,326,52.59,23.88,1.35,"Tridoshic. Easiest dal to digest. Good for recovery.",B010
f_036,"Mung bean, whole","Green Gram|Moong|Pesalu|Pasi Payaru","Vata,Pitta,Kapha,Balancing","sweet,astringent","light,dry",cooling,all,294,46.13,22.53,1.14,"Tridoshic. Easiest bean to digest. Excellent for recovery.",B011
f_037,"Horse gram, whole","Kulthi|Kollu|Ulavalu","Kapha,Vata","astringent,sweet","light,dry,sharp",heating,winter,330,57.24,21.73,0.62,"Very heating and drying. Excellent for Kapha, but aggravates Pitta.",B012
f_038,"Lentil, dal","Masoor Dal|Mysore Paruppu","Pitta,Kapha","sweet,astringent","light,dry",cooling,all,322,52.53,24.35,0.75,"Cooling and light. Good for Pitta and Kapha.",B013
f_039,"Lentil, whole, brown","Sabut Masoor","Pitta,Kapha","sweet,astringent","light,dry",cooling,all,300,48.47,22.49,0.64,"Slightly heavier than split masoor.",B014
f_040,"Lentil, whole, yellowish","Yellow Lentil","Pitta,Kapha","sweet,astringent","light,dry",cooling,all,298,47.91,22.87,0.61,"Similar to brown lentil.",B015
f_041,"Moth bean","Matki|Narippayir","Kapha,Vata","sweet,astringent","light,dry",heating,monsoon,309,52.09,19.75,1.76,"Drying. Good for Kapha. Can increase Vata.",B016
f_042,"Peas, dry","Sukhi Matar|Batani",Kapha,"sweet,astringent","light,dry",cooling,all,303,48.93,20.43,1.89,"Drying and light. Increases Vata.",B017
f_043,"Rajmah, black","Black Kidney Beans","Vata,Kapha","sweet,astringent","heavy,dry",cooling,winter,298,49.59,19.01,1.62,"Heavy and Vata-aggravating.",B018
f_044,"Rajmah, brown","Brown Kidney Beans","Vata,Kapha","sweet,astringent","heavy,dry",cooling,winter,298,48.83,19.50,1.68,"Heavy and Vata-aggravating.",B019
